Date,Open,High,Low,Close,Adj Close,Volume
2011-10-27,14.555714,14.607143,14.353214,14.453214,12.409767,494664800
2011-10-28,14.392857,14.512500,14.375357,14.462500,12.417740,322842800
2011-10-31,14.372143,14.618929,14.323214,14.456429,12.412528,385501200
2011-11-01,14.193214,14.267857,14.043571,14.161071,12.158925,531790000
2011-11-02,14.288929,14.301429,14.111071,14.193214,12.186527,327350800
2011-11-03,14.252500,14.407143,14.120000,14.395357,12.360088,441386400
2011-11-04,14.358214,14.408571,14.255714,14.294286,12.273309,302229200
2011-11-07,14.282500,14.285714,14.147500,14.276071,12.257666,270275600
2011-11-08,14.364643,14.571429,14.341429,14.508214,12.456991,400442000
2011-11-09,14.177500,14.317500,14.079643,14.117143,12.121211,558684000
2011-11-10,14.179643,14.186071,13.648214,13.757857,11.812723,744752400
2011-11-11,13.807500,13.882143,13.580714,13.736429,11.794324,653786000
2011-11-14,13.697143,13.758929,13.507143,13.545000,11.629958,432905200
2011-11-15,13.600000,13.910714,13.551786,13.886786,11.923422,430810800
2011-11-16,13.901786,13.969286,13.725714,13.741786,11.798923,349210400
2011-11-17,13.713571,13.735000,13.410714,13.478929,11.573227,479900400
2011-11-18,13.532857,13.571071,13.388571,13.390714,11.497484,371938000
2011-11-21,13.228571,13.274286,13.068214,13.178929,11.315646,447980400
2011-11-22,13.250714,13.497500,13.247857,13.446786,11.545631,409021200
2011-11-23,13.375357,13.422857,13.102857,13.106786,11.253701,428271200
2011-11-25,13.157857,13.255357,12.975714,12.984643,11.148828,254760800
2011-11-28,13.298214,13.454286,13.226071,13.432857,11.533672,346413200
2011-11-29,13.422857,13.529643,13.221429,13.328571,11.444131,375855200
2011-11-30,13.617500,13.652857,13.510714,13.650000,11.720113,405938400
2011-12-01,13.662143,13.892857,13.598214,13.854643,11.895824,387181200
2011-12-02,13.922500,14.058214,13.877857,13.917857,11.950099,379055600
2011-12-05,14.053214,14.157500,13.942500,14.036071,12.051600,357210000
2011-12-06,14.018214,14.093929,13.906429,13.962500,11.988431,283598000
